Rang,Marque,Appréciation,Indice de fiabilité (base 100)
1,Lexus,Très bon,96.7
2,Toyota,Très bon,96.2
3,Suzuki,Très bon,96.1
4,Subaru,Très bon,95.7
5,Honda,Très bon,95.4
6,Tesla,Très bon,95.2
7,Smart,Très bon,95.0
8,Mazda,Bon,94.8
9,Mitsubishi,Bon,94.7
10,Kia,Bon,94.5
11,BMW,Bon,94.3
12,Hyundai,Bon,94.2
13,Mini,Bon,94.2
14,Lancia,Bon,93.7
15,Nissan,Bon,93.6
16,Mercedes-Benz,Bon,93.4
17,Audi,Bon,93.1
18,Cupra,Bon,93.1
19,Dacia,Bon,92.9
20,Seat,Bon,92.9
21,Porsche,Bon,92.8
22,Fiat,Bon,92.4
23,Skoda,Bon,92.4
24,Volvo,Bon,92.3
25,Volkswagen,Bon,92.1
26,Jeep,Bon,91.8
27,Renault,Bon,91.8
28,Alfa Romeo,Bon,91.4
29,Ford,Bon,91.4
30,Jaguar,Bon,91.3
31,Opel,Bon,90.6
32,Peugeot,Bon,90.1
33,Citroën,Moyen,89.9
34,DS Automobiles,Moyen,89.7
35,MG,Moyen,89.2
36,Land Rover,Moyen,87.0